round,comp_time,comm_time,overhead,mse,f1,mode,clients
0,0.8354916572570801,5.0067901611328125e-06,0,0.5044885067378774,0.7209496043315285,Vanilla,10
1,0.8454580307006836,4.291534423828125e-06,0,0.42127447619157676,0.7409025739059193,Vanilla,10
2,0.8329269886016846,3.337860107421875e-06,0,0.3728206271634382,0.747161601740431,Vanilla,10
3,0.8112072944641113,3.337860107421875e-06,0,0.3341922856429044,0.7652582159624414,Vanilla,10
4,0.8169288635253906,4.0531158447265625e-06,0,0.3016962321365581,0.769426240470777,Vanilla,10
5,0.813929557800293,3.337860107421875e-06,0,0.2742643636815688,0.7715736040609137,Vanilla,10
6,0.8337335586547852,4.0531158447265625e-06,0,0.2518308228429626,0.774223643875783,Vanilla,10
7,0.8116536140441895,3.337860107421875e-06,0,0.2334222096730681,0.7765159062230192,Vanilla,10
8,0.8113465309143066,3.337860107421875e-06,0,0.21823435890323975,0.779082885393855,Vanilla,10
9,0.811668872833252,3.0994415283203125e-06,0,0.20489785119014628,0.7823556643079161,Vanilla,10
10,0.8116202354431152,2.6226043701171875e-06,0,12.238468170166016,0.4794926700708285,Vanilla,10
11,0.8087258338928223,2.86102294921875e-06,0,42.933920467601105,0.624155593497142,Vanilla,10
12,0.8128249645233154,3.337860107421875e-06,0,80.71589593326344,0.5397479591027978,Vanilla,10
13,0.807809591293335,3.0994415283203125e-06,0,164.29568795596853,0.4391156462585034,Vanilla,10
14,0.822329044342041,3.5762786865234375e-06,0,200.3240239760455,0.4815303430079156,Vanilla,10
15,0.8150913715362549,2.6226043701171875e-06,0,349.698538387523,0.5927784112504751,Vanilla,10
16,0.8089330196380615,2.6226043701171875e-06,0,636.7284079159008,0.5439886175005928,Vanilla,10
17,0.8098599910736084,2.1457672119140625e-06,0,643.213669720818,0.5990608906392002,Vanilla,10
18,0.8141970634460449,3.0994415283203125e-06,0,774.3307441262638,0.513018943974204,Vanilla,10
19,0.8101513385772705,3.0994415283203125e-06,0,1057.9825583065258,0.5892679948095565,Vanilla,10
20,0.8179898262023926,3.337860107421875e-06,0,1293.7182688993566,0.6245165129425766,Vanilla,10
21,0.8215057849884033,3.5762786865234375e-06,0,1475.3697832892922,0.6315007429420505,Vanilla,10
22,0.8153054714202881,2.384185791015625e-06,0,1285.65822466682,0.6393248445365709,Vanilla,10
23,0.8147199153900146,3.5762786865234375e-06,0,1669.1050343232996,0.47468824841027335,Vanilla,10
24,0.8023362159729004,2.86102294921875e-06,0,1782.9333101160387,0.43301069791136015,Vanilla,10
25,0.828181266784668,3.0994415283203125e-06,0,1936.8042817957262,0.5474446806835184,Vanilla,10
26,0.8097383975982666,2.6226043701171875e-06,0,1990.8743070714613,0.5752833243389098,Vanilla,10
27,0.8210446834564209,2.86102294921875e-06,0,2370.5265969669117,0.6286860283740623,Vanilla,10
