vec_len,N,coeff_mod_bit_sizes,scale_pow,trials,keygen_time_s,enc_client_u_time_s,enc_client_norm_time_s,dec_norm_time_s,dot_plainmul_time_s,rot_sum_time_s,dec_dot_time_s,scalar_mul_time_s,agg_time_s,final_dec_time_s,ct_u_bytes,ct_n_bytes,ct_prod_bytes,ct_dot_bytes,ct_weight_bytes,ct_agg_bytes,relin_keys_size_mean,galois_keys_size_mean,mae_error,max_err,mem_delta_mb,fallback_encrypt_plain_count,fallback_rotation_count
1024,8192,"[60, 40, 40, 60]",30,3,0.13754417433180302,0.0034525106675573625,0.003161019002921724,0.0009476869987944762,0.0,0.03872176666482119,0.0006257793356780894,0.0007467539981007576,2.96669895760715e-07,0.0006405189997167327,334393.6666666667,334385.3333333333,235346.66666666666,235345.66666666666,235342.66666666666,235342.66666666666,-1.0,-1.0,0.7970677168349383,3.2354322384707106,32.6953125,0,0
1024,8192,"[60, 40, 40, 60]",40,3,0.12750764099958664,0.003373159333326233,0.0031587526658161855,0.0009387773316120729,0.0,0.03799824333448972,0.000603013000121185,0.0006914779975583466,2.0000394821787873e-07,0.000640302331400259,334262.6666666667,334321.6666666667,235378.66666666666,235366.33333333334,235366.0,235366.0,-1.0,-1.0,1.1134274629531142e-07,4.671469790255382e-07,3.31640625,0,0
1024,8192,"[60, 40, 60]",30,3,0.07244356733523698,0.002798655999261731,0.002501367334237633,0.0006209523344296031,0.0,0.028020117334866274,0.0002659023302840069,0.0004485686683134797,1.7000274965539575e-07,0.0002971149976171243,235366.0,235320.33333333334,131217.0,131217.0,131217.0,131217.0,-1.0,-1.0,0.797067737187633,3.2354331916930934,11.736979166666666,0,0
1024,8192,"[60, 40, 60]",40,3,0.06765465933373586,0.002752156333978443,0.0024926913320086896,0.0006171859980289204,0.0,0.02809394966607215,0.0002655619997919227,0.00045156566678391147,2.1333350256706277e-07,0.00029596466629300267,235347.33333333334,235342.33333333334,131217.0,131217.0,131217.0,131217.0,-1.0,-1.0,1.1043406799758068e-07,4.616820466670409e-07,0.21875,0,0
4096,8192,"[60, 40, 40, 60]",30,3,0.12645118966611335,0.0038299813313642517,0.003383102002165591,0.0010243623328278773,0.0,0.05095421033426343,0.0006488856670330279,0.0007139680019463412,2.0999868866056204e-07,0.0007575436660166209,334338.3333333333,334326.0,235377.66666666666,235359.66666666666,235322.66666666666,235322.66666666666,-1.0,-1.0,0.7976549706446244,3.5227091293048027,1.0416666666666667,0,0
4096,8192,"[60, 40, 40, 60]",40,3,0.12697205233416753,0.004031871004068914,0.0034523309999106764,0.000907007667895717,0.0,0.049315711003146134,0.0006325790018308908,0.0006965916666861934,1.9666670899217328e-07,0.0007368876661833686,334285.6666666667,334346.0,235383.33333333334,235399.33333333334,235348.66666666666,235348.66666666666,-1.0,-1.0,1.2413172138848664e-07,6.21654381675422e-07,0.0625,0,0
4096,8192,"[60, 40, 60]",30,3,0.06820330966729671,0.00311018333498699,0.0027332563355836705,0.000596136667203003,0.0,0.0373894353324431,0.0002964416659475925,0.0004520753330628698,2.6966639173527557e-07,0.0004084696653687085,235336.33333333334,235331.33333333334,131217.0,131217.0,131217.0,131217.0,-1.0,-1.0,0.7976549557753149,3.5227083070488843,0.0625,0,0
4096,8192,"[60, 40, 60]",40,3,0.06783261600018402,0.0030930009985847087,0.0027411996634327807,0.0005824203326483257,0.0,0.037356502667535096,0.0002953649988436761,0.00045120866464761394,2.600014947044353e-07,0.0004018936645782863,235358.0,235319.33333333334,131217.0,131217.0,131217.0,131217.0,-1.0,-1.0,1.224070251033405e-07,6.13793807298831e-07,0.06380208333333333,0,0
1024,16384,"[60, 40, 40, 60]",30,3,0.29049032766730915,0.006842390001111198,0.00636025133523314,0.0018969540008887027,0.0,0.0778286376662436,0.0012642713360643636,0.001616946334252134,2.5666668079793453e-07,0.0014170693345173884,657495.6666666666,657832.3333333334,460264.0,459721.3333333333,459883.6666666667,459883.6666666667,-1.0,-1.0,0.7970678200278715,3.2354356647332843,60.776041666666664,0,0
1024,16384,"[60, 40, 40, 60]",40,3,0.2747902000022198,0.00677193800220266,0.006355881996569224,0.0019635666661391347,0.0,0.0773754340019271,0.0012173626649503906,0.001435608668543864,2.5666668079793453e-07,0.0012689720024354756,657615.6666666666,657633.0,459974.3333333333,459912.6666666667,459629.6666666667,459629.6666666667,-1.0,-1.0,1.1434314619584034e-06,4.686374619033984e-06,1.14453125,0,0
